id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
897,"Astronomi","sulit","Pengembangan alam semesta diamati dari pergeseran apa pada cahaya galaksi jauh?","Merah","Biru selalu","Hijau","Ungu","A","Pergeseran merah cahaya galaksi jauh menjadi bukti bahwa alam semesta mengembang.",""
898,"Astronomi","sulit","Teori asal mula alam semesta yang paling dikenal adalah apa?","Big Bang","Big Freeze lokal","Small Moon","Flat Earth","A","Teori Big Bang menjelaskan alam semesta bermula dari keadaan sangat panas dan rapat lalu mengembang.",""
899,"Astronomi","sulit","Orbit planet mengelilingi Matahari berbentuk apa menurut hukum Kepler?","Elips","Persegi","Segitiga","Garis lurus","A","Hukum Kepler menyatakan orbit planet berbentuk elips dengan Matahari di salah satu fokusnya.",""
900,"Astronomi","sulit","Wahana antariksa tanpa awak yang dikirim untuk meneliti benda langit disebut apa?","Probe","Satelit alami","Meteor","Komet","A","Probe adalah wahana tanpa awak untuk pengamatan atau penelitian antariksa.",""
901,"Kesehatan","mudah","Kebiasaan mencuci tangan dapat membantu mencegah apa?","Penyebaran kuman","Pertumbuhan rambut cepat","Matahari terbenam","Baju basah","A","Mencuci tangan membantu mengurangi kuman yang menempel di tangan.",""
902,"Kesehatan","mudah","Mencuci tangan sebaiknya menggunakan sabun dan apa?","Air mengalir","Pasir","Minyak","Cat","A","Sabun dan air mengalir membantu membersihkan kotoran dan kuman dari tangan.",""
903,"Kesehatan","mudah","Tidur yang cukup penting untuk apa?","Memulihkan energi tubuh","Menghilangkan kebutuhan makan","Membuat tubuh kebal semua penyakit","Mengganti olahraga sepenuhnya","A","Tidur cukup membantu tubuh beristirahat dan memulihkan energi.",""
904,"Kesehatan","mudah","Olahraga teratur membantu menjaga apa?","Kebugaran tubuh","Buku tetap kering","Lampu tetap menyala","Air menjadi manis","A","Olahraga teratur membantu menjaga kebugaran dan kesehatan tubuh.",""
905,"Kesehatan","mudah","Minum air putih cukup membantu mencegah apa?","Dehidrasi","Patah tulang otomatis","Mata rabun selalu","Baju kusut","A","Air putih membantu menjaga cairan tubuh sehingga mencegah dehidrasi.",""
906,"Kesehatan","mudah","Makanan bergizi seimbang sebaiknya mengandung apa?","Karbohidrat, protein, lemak, vitamin, dan mineral","Gula saja","Garam saja","Minuman bersoda saja","A","Gizi seimbang mencakup berbagai zat makanan yang dibutuhkan tubuh.",""
907,"Kesehatan","mudah","Sumber karbohidrat umum adalah apa?","Nasi","Sabun","Batu","Kaca","A","Nasi mengandung karbohidrat sebagai sumber energi.",""
908,"Kesehatan","mudah","Sumber protein hewani adalah apa?","Telur","Beras","Gula","Minyak goreng saja","A","Telur mengandung protein hewani yang dibutuhkan tubuh.",""
909,"Kesehatan","mudah","Buah dan sayur banyak mengandung apa?","Vitamin dan serat","Bensin","Plastik","Logam berat","A","Buah dan sayur mengandung vitamin, mineral, dan serat.",""
910,"Kesehatan","mudah","Gigi sebaiknya disikat minimal berapa kali sehari?","2 kali","1 kali seminggu","5 kali sebulan","Tidak perlu","A","Menyikat gigi minimal dua kali sehari membantu menjaga kebersihan mulut.",""
911,"Kesehatan","mudah","Sikat gigi sebelum tidur penting karena apa?","Mengurangi sisa makanan dan kuman","Membuat rambut tumbuh","Mengganti sarapan","Menambah tinggi badan langsung","A","Menyikat gigi sebelum tidur membantu membersihkan sisa makanan dan plak.",""
912,"Kesehatan","mudah","Vitamin A penting untuk kesehatan apa?","Mata","Rambut saja","Kuku saja","Telinga saja","A","Vitamin A berperan penting dalam menjaga kesehatan mata.",""
913,"Kesehatan","mudah","Vitamin C membantu menjaga apa?","Daya tahan tubuh","Warna baju","Bentuk meja","Suara radio","A","Vitamin C mendukung sistem daya tahan tubuh.",""
914,"Kesehatan","mudah","Kalsium penting untuk kesehatan apa?","Tulang dan gigi","Kulit baju","Rambut palsu","Kertas","A","Kalsium membantu menjaga kekuatan tulang dan gigi.",""
915,"Kesehatan","mudah","Peregangan sebelum olahraga dapat membantu mengurangi risiko apa?","Cedera","Lapar","Haus selamanya","Mata mengantuk","A","Peregangan membantu mempersiapkan otot dan mengurangi risiko cedera.",""
916,"Kesehatan","sedang","Kondisi tubuh kekurangan cairan disebut apa?","Dehidrasi","Hipertensi","Anemia","Alergi","A","Dehidrasi terjadi ketika tubuh kekurangan cairan.",""
917,"Kesehatan","sedang","Tekanan darah tinggi disebut apa?","Hipertensi","Hipotermia","Anemia","Dehidrasi","A","Hipertensi adalah kondisi tekanan darah lebih tinggi dari normal.",""
918,"Kesehatan","sedang","Kekurangan sel darah merah atau hemoglobin disebut apa?","Anemia","Hipertensi","Alergi","Flu","A","Anemia terjadi ketika tubuh kekurangan sel darah merah atau hemoglobin yang cukup.",""
919,"Kesehatan","sedang","Reaksi tubuh berlebihan terhadap zat tertentu disebut apa?","Alergi","Anemia","Dehidrasi","Patah tulang","A","Alergi adalah reaksi sistem imun terhadap zat tertentu yang dianggap mengganggu.",""
920,"Kesehatan","sedang","Penyakit yang disebabkan oleh virus influenza adalah apa?","Flu","Anemia","Diabetes","Skoliosis","A","Flu disebabkan oleh virus influenza.",""
921,"Kesehatan","sedang","Demam adalah tanda bahwa suhu tubuh bagaimana?","Meningkat di atas normal","Selalu turun di bawah nol","Tidak berubah","Menjadi dingin sekali","A","Demam terjadi ketika suhu tubuh meningkat di atas normal.",""
922,"Kesehatan","sedang","Vaksinasi bertujuan untuk apa?","Melatih sistem imun mengenali penyakit","Mengganti semua makanan","Membuat tubuh tidak perlu tidur","Menghapus kebutuhan olahraga","A","Vaksin membantu sistem imun mengenali penyebab penyakit tertentu.",""
923,"Kesehatan","sedang","Sistem imun berfungsi untuk apa?","Melindungi tubuh dari penyakit","Mencerna kayu","Mengubah suara","Menyimpan tinta","A","Sistem imun membantu melawan kuman dan zat asing penyebab penyakit.",""
924,"Kesehatan","sedang","Luka kecil sebaiknya dibersihkan untuk mencegah apa?","Infeksi","Pertumbuhan kuku","Rasa lapar","Mata rabun","A","Membersihkan luka membantu mengurangi risiko infeksi.",""
925,"Kesehatan","sedang","Pertolongan pertama pada mimisan ringan dapat dilakukan dengan posisi kepala bagaimana?","Sedikit menunduk","Mendongak kuat","Tidur telentang selalu","Berputar","A","Saat mimisan, kepala sedikit menunduk membantu darah tidak tertelan.",""
926,"Kesehatan","sedang","Serat makanan membantu kesehatan sistem apa?","Pencernaan","Pernapasan saja","Pendengaran saja","Penglihatan saja","A","Serat membantu melancarkan kerja sistem pencernaan.",""
927,"Kesehatan","sedang","Kebiasaan merokok dapat merusak organ apa terutama?","Paru-paru","Rambut","Kuku","Tulang jari saja","A","Asap rokok dapat merusak paru-paru dan meningkatkan risiko berbagai penyakit.",""
928,"Kesehatan","sedang","Makanan terlalu banyak gula dapat meningkatkan risiko apa?","Diabetes","Patah tulang langsung","Rabun senja selalu","Cedera otot","A","Konsumsi gula berlebihan dapat meningkatkan risiko diabetes dan masalah kesehatan lain.",""
929,"Kesehatan","sedang","Makanan terlalu asin dapat meningkatkan risiko apa?","Tekanan darah tinggi","Rambut memutih langsung","Flu otomatis","Alergi dingin selalu","A","Konsumsi garam berlebihan dapat berkaitan dengan tekanan darah tinggi.",""
930,"Kesehatan","sedang","Istirahat saat sakit membantu tubuh untuk apa?","Pulih","Menjadi kebal permanen","Menghindari makan","Menghapus semua virus seketika","A","Istirahat memberi kesempatan tubuh memulihkan diri.",""
931,"Kesehatan","sulit","Indeks massa tubuh sering disingkat apa?","IMT","DNA","ATP","pH","A","IMT adalah singkatan dari Indeks Massa Tubuh.",""
932,"Kesehatan","sulit","Denyut nadi menunjukkan kerja organ apa?","Jantung","Ginjal","Lambung","Hati","A","Denyut nadi mencerminkan denyut jantung yang memompa darah.",""
933,"Kesehatan","sulit","Oksigen dalam darah banyak diikat oleh protein apa?","Hemoglobin","Kolagen","Keratin","Insulin","A","Hemoglobin dalam sel darah merah mengikat oksigen.",""
934,"Kesehatan","sulit","Hormon yang membantu mengatur kadar gula darah adalah apa?","Insulin","Melanin","Adrenalin saja","Klorofil","A","Insulin membantu mengatur kadar gula dalam darah.",""
935,"Kesehatan","sulit","Organ yang menghasilkan insulin adalah apa?","Pankreas","Paru-paru","Jantung","Usus besar","A","Insulin diproduksi oleh pankreas.",""
936,"Kesehatan","sulit","Organ yang menyaring darah dan membentuk urine adalah apa?","Ginjal","Lambung","Jantung","Paru-paru","A","Ginjal menyaring darah dan menghasilkan urine.",""
937,"Kesehatan","sulit","Organ terbesar pada tubuh manusia adalah apa?","Kulit","Jantung","Ginjal","Lidah","A","Kulit adalah organ terbesar pada tubuh manusia.",""
938,"Kesehatan","sulit","Sistem pernapasan bertugas menukar oksigen dan gas apa?","Karbon dioksida","Nitrogen murni","Helium","Klorin","A","Sistem pernapasan mengambil oksigen dan membuang karbon dioksida.",""
939,"Kesehatan","sulit","Pencernaan mekanik di mulut terutama dilakukan oleh apa?","Gigi","Paru-paru","Ginjal","Kulit","A","Gigi mengunyah makanan menjadi bagian lebih kecil.",""
940,"Kesehatan","sulit","Enzim dalam air liur yang mulai mencerna karbohidrat adalah apa?","Amilase","Pepsin","Insulin","Hemoglobin","A","Amilase dalam air liur membantu memecah karbohidrat.",""
941,"Kesehatan","sulit","Penyakit menular dapat menyebar melalui apa?","Kontak dengan kuman penyebab penyakit","Membaca buku","Tidur cukup","Makan sayur","A","Penyakit menular menyebar ketika kuman berpindah dari satu orang atau lingkungan ke orang lain.",""
942,"Kesehatan","sulit","Antibiotik digunakan untuk melawan infeksi apa?","Bakteri","Virus selalu","Alergi","Cedera otot","A","Antibiotik bekerja melawan infeksi bakteri, bukan semua jenis penyakit.",""
943,"Kesehatan","sulit","Penggunaan antibiotik harus sesuai anjuran siapa?","Tenaga kesehatan","Teman sebaya","Iklan acak","Komentar internet","A","Antibiotik perlu digunakan sesuai anjuran tenaga kesehatan untuk mencegah risiko resistensi.",""
944,"Kesehatan","sulit","Resistensi antibiotik berarti bakteri menjadi bagaimana?","Kebal terhadap antibiotik tertentu","Lebih mudah hilang","Berubah menjadi vitamin","Tidak bisa hidup sama sekali","A","Resistensi antibiotik terjadi ketika bakteri tidak lagi mempan terhadap antibiotik tertentu.",""
945,"Kesehatan","sulit","Kesehatan mental berkaitan dengan apa?","Pikiran, emosi, dan perilaku","Tulang saja","Gigi saja","Warna kulit saja","A","Kesehatan mental mencakup pikiran, emosi, dan perilaku seseorang.",""
946,"Kesehatan","sulit","Stres yang dikelola dengan baik dapat dibantu oleh apa?","Istirahat, dukungan sosial, dan aktivitas sehat","Begadang terus","Mengabaikan semua masalah","Makan gula berlebihan","A","Istirahat, dukungan sosial, dan kebiasaan sehat dapat membantu mengelola stres.",""
947,"Kesehatan","sulit","Postur tubuh yang baik saat duduk membantu mencegah apa?","Nyeri punggung","Flu","Alergi makanan","Mimisan selalu","A","Postur duduk yang baik mengurangi beban berlebihan pada punggung.",""
948,"Kesehatan","sulit","Pemanasan sebelum olahraga bertujuan menyiapkan apa?","Otot dan sendi","Buku pelajaran","Lampu kamar","Sinyal internet","A","Pemanasan membantu otot dan sendi siap bergerak.",""
949,"Kesehatan","sulit","Pendinginan setelah olahraga membantu tubuh kembali ke kondisi apa?","Normal secara bertahap","Lapar permanen","Tanpa napas","Tanpa keringat selamanya","A","Pendinginan membantu denyut jantung dan kondisi tubuh kembali normal secara bertahap.",""
950,"Kesehatan","sulit","Pola hidup sehat paling tepat dilakukan secara apa?","Konsisten","Sekali seumur hidup","Saat ada lomba saja","Jika disuruh saja","A","Pola hidup sehat perlu dilakukan konsisten agar memberi manfaat jangka panjang.",""
951,"Informatika","mudah","Data adalah apa?","Kumpulan fakta atau nilai","Alat memasak","Jenis tanaman","Nama olahraga","A","Data adalah fakta, angka, teks, atau nilai yang dapat diolah menjadi informasi.",""
952,"Informatika","mudah","Informasi adalah data yang sudah bagaimana?","Diolah sehingga bermakna","Dibuang","Dicetak tanpa arti","Dihapus","A","Informasi adalah data yang telah diproses sehingga memiliki makna.",""
953,"Informatika","mudah","Komputer bekerja berdasarkan instruksi yang disebut apa?","Program","Baterai","Meja","Kabel listrik saja","A","Program adalah kumpulan instruksi yang dijalankan komputer.",""
954,"Informatika","mudah","Bahasa yang dipakai untuk memberi instruksi ke komputer disebut apa?","Bahasa pemrograman","Bahasa tubuh","Bahasa daerah saja","Bahasa isyarat saja","A","Bahasa pemrograman digunakan untuk menulis instruksi yang dapat diproses komputer.",""
955,"Informatika","mudah","Contoh bahasa pemrograman adalah apa?","Python","Pensil","Printer","Router","A","Python adalah salah satu bahasa pemrograman.",""
956,"Informatika","mudah","Kesalahan dalam program disebut apa?","Bug","Folder","Mouse","Monitor","A","Bug adalah kesalahan yang membuat program tidak berjalan sesuai harapan.",""
957,"Informatika","mudah","Proses mencari dan memperbaiki bug disebut apa?","Debugging","Printing","Scanning","Browsing saja","A","Debugging adalah proses menemukan dan memperbaiki kesalahan program.",""
958,"Informatika","mudah","Penyimpanan file di komputer biasanya diatur dalam apa?","Folder","Kipas","Layar","Speaker","A","Folder membantu mengelompokkan dan mengatur file.",""
959,"Informatika","mudah","Ekstensi file .txt biasanya berisi apa?","Teks biasa","Video","Musik","Gambar vektor saja","A","File .txt umumnya berisi teks polos.",""
960,"Informatika","mudah","Ekstensi file .png biasanya berisi apa?","Gambar","Audio","Database","Kode mesin saja","A","PNG adalah format gambar yang umum dipakai.",""
961,"Informatika","mudah","Jaringan komputer adalah apa?","Kumpulan perangkat yang saling terhubung","Tumpukan buku","Jenis makanan","Sistem pencernaan","A","Jaringan komputer menghubungkan perangkat agar dapat bertukar data.",""
962,"Informatika","mudah","Internet adalah jaringan komputer berskala apa?","Global","Satu ruangan saja","Satu kabel saja","Tanpa perangkat","A","Internet adalah jaringan global yang menghubungkan banyak jaringan komputer.",""
963,"Informatika","mudah","Browser digunakan untuk membuka apa?","Halaman web","Lampu","Pintu","Buku cetak","A","Browser digunakan untuk mengakses dan menampilkan halaman web.",""
964,"Informatika","mudah","Search engine digunakan untuk mencari apa?","Informasi di internet","Baterai fisik","Kunci rumah","Air minum","A","Search engine membantu mencari informasi di internet.",""
965,"Informatika","mudah","Email adalah layanan untuk mengirim apa?","Pesan elektronik","Paket fisik langsung","Sinyal televisi","Air bersih","A","Email digunakan untuk mengirim dan menerima pesan elektronik.",""
966,"Informatika","sedang","Algoritma adalah apa?","Urutan langkah menyelesaikan masalah","Jenis layar","Nama kabel","Ukuran kertas","A","Algoritma adalah langkah-langkah logis untuk menyelesaikan masalah.",""
967,"Informatika","sedang","Flowchart digunakan untuk menggambarkan apa?","Alur algoritma","Warna monitor","Berat komputer","Harga kabel","A","Flowchart menggambarkan langkah dan alur proses secara visual.",""
968,"Informatika","sedang","Simbol belah ketupat pada flowchart biasanya menunjukkan apa?","Keputusan","Mulai atau selesai","Input saja","Output saja","A","Belah ketupat pada flowchart umumnya menunjukkan percabangan atau keputusan.",""
969,"Informatika","sedang","Percabangan dalam program digunakan untuk apa?","Memilih aksi berdasarkan kondisi","Menghapus semua data","Menambah listrik","Mencetak otomatis selalu","A","Percabangan menjalankan perintah berbeda sesuai kondisi.",""
970,"Informatika","sedang","Perulangan dalam program digunakan untuk apa?","Mengulang instruksi","Mengganti hardware","Menghapus internet","Membuka casing","A","Perulangan menjalankan instruksi berkali-kali selama syarat tertentu terpenuhi.",""
971,"Informatika","sedang","Variabel digunakan untuk apa?","Menyimpan nilai sementara","Mendinginkan CPU","Mencetak warna","Mengukur suhu ruangan","A","Variabel menyimpan nilai yang dapat digunakan dan diubah dalam program.",""
972,"Informatika","sedang","Tipe data teks sering disebut apa?","String","Integer","Boolean","Array saja","A","String adalah tipe data untuk teks.",""
973,"Informatika","sedang","Tipe data bilangan bulat sering disebut apa?","Integer","String","Boolean","Character saja","A","Integer adalah tipe data untuk bilangan bulat.",""
974,"Informatika","sedang","Tipe data benar atau salah disebut apa?","Boolean","String","Integer","Float","A","Boolean memiliki nilai benar atau salah.",""
975,"Informatika","sedang","Kumpulan data berurutan dalam satu variabel sering disebut apa?","Array","String","Boolean","Router","A","Array menyimpan beberapa nilai dalam satu struktur berurutan.",""
976,"Informatika","sedang","Database relasional menyimpan data dalam bentuk apa?","Tabel","Gelombang suara","Peta langit","Gambar bebas saja","A","Database relasional menyimpan data dalam tabel yang saling berhubungan.",""
977,"Informatika","sedang","SQL digunakan untuk apa?","Mengelola dan mengambil data dari database","Menggambar ilustrasi","Mengukur tekanan","Merekam suara","A","SQL adalah bahasa untuk mengelola dan mengambil data pada database relasional.",""
978,"Informatika","sedang","Primary key pada tabel database berfungsi sebagai apa?","Identitas unik baris data","Warna latar tabel","Ukuran huruf","Password pengguna selalu","A","Primary key membedakan setiap baris data secara unik.",""
979,"Informatika","sedang","Enkripsi bertujuan untuk apa?","Menyamarkan data agar tidak mudah dibaca pihak tidak berwenang","Menghapus semua file","Mempercepat kipas","Mengubah monitor","A","Enkripsi mengubah data menjadi bentuk tersandi agar lebih aman.",""
980,"Informatika","sedang","Autentikasi digunakan untuk memastikan apa?","Identitas pengguna","Warna layar","Ukuran file","Jenis keyboard","A","Autentikasi memverifikasi bahwa pengguna adalah pihak yang benar.",""
981,"Informatika","sulit","Otorisasi digunakan untuk menentukan apa?","Hak akses pengguna","Kecepatan kipas","Jenis kabel","Warna tombol","A","Otorisasi menentukan apa saja yang boleh diakses atau dilakukan pengguna.",""
982,"Informatika","sulit","Hashing password sebaiknya digunakan untuk apa?","Menyimpan password dalam bentuk yang tidak mudah dibalik","Menampilkan password asli","Menghapus akun otomatis","Mengirim password ke semua orang","A","Hashing menyimpan representasi password agar password asli tidak langsung terbaca.",""
983,"Informatika","sulit","API REST biasanya menggunakan protokol apa di web?","HTTP","Bluetooth saja","FM radio","HDMI","A","REST API di web umumnya berkomunikasi menggunakan HTTP.",""
984,"Informatika","sulit","Metode HTTP GET umumnya digunakan untuk apa?","Mengambil data","Menghapus data selalu","Mengubah perangkat keras","Mencetak foto","A","GET umumnya dipakai untuk mengambil data dari server.",""
985,"Informatika","sulit","Metode HTTP POST umumnya digunakan untuk apa?","Mengirim atau membuat data","Mengambil data saja","Mengukur suhu","Menghapus monitor","A","POST umumnya digunakan untuk mengirim data ke server atau membuat resource baru.",""
986,"Informatika","sulit","Status HTTP 404 berarti apa?","Resource tidak ditemukan","Berhasil selalu","Server terbakar","Password benar","A","HTTP 404 menunjukkan resource yang diminta tidak ditemukan.",""
987,"Informatika","sulit","Status HTTP 200 berarti apa?","Permintaan berhasil","Resource tidak ditemukan","Akses ditolak selalu","Server error","A","HTTP 200 menunjukkan permintaan berhasil diproses.",""
988,"Informatika","sulit","Status HTTP 500 biasanya menunjukkan apa?","Kesalahan server","Permintaan sukses","File ditemukan","Login berhasil","A","HTTP 500 menunjukkan kesalahan di sisi server.",""
989,"Informatika","sulit","Version control digunakan untuk apa?","Melacak perubahan file dari waktu ke waktu","Mengganti monitor","Mencetak dokumen","Mengukur berat laptop","A","Version control membantu mencatat dan mengelola riwayat perubahan file.",""
990,"Informatika","sulit","Git branch digunakan untuk apa?","Mengerjakan perubahan di jalur terpisah","Menghapus semua riwayat","Membuat kabel baru","Mengganti baterai","A","Branch memungkinkan pengembangan fitur atau perbaikan dilakukan terpisah dari jalur utama.",""
991,"Informatika","sulit","Merge dalam Git berarti apa?","Menggabungkan perubahan dari branch","Menghapus repository","Mencetak kode","Mengubah file menjadi gambar","A","Merge menggabungkan perubahan dari satu branch ke branch lain.",""
992,"Informatika","sulit","Pull request biasanya digunakan untuk apa?","Mengusulkan dan meninjau perubahan kode","Mengisi daya laptop","Menghapus internet","Mencetak halaman web","A","Pull request membantu tim meninjau perubahan sebelum digabungkan.",""
993,"Informatika","sulit","Cloud computing berarti apa?","Pemanfaatan layanan komputasi melalui internet","Komputer tanpa listrik","Mencetak awan","Menghapus server","A","Cloud computing menyediakan sumber daya komputasi seperti server dan penyimpanan melalui internet.",""
994,"Informatika","sulit","Serverless berarti developer tidak perlu mengelola apa secara langsung?","Server fisik atau infrastruktur server","Kode program","Data pengguna","Logika aplikasi","A","Serverless menyederhanakan pengelolaan infrastruktur server, meski server tetap ada di penyedia layanan.",""
995,"Informatika","sulit","Container digunakan untuk apa?","Mengemas aplikasi beserta dependensinya","Mengecat layar","Menghapus sistem operasi","Mencetak kabel","A","Container mengemas aplikasi dan dependensinya agar lebih konsisten dijalankan di berbagai lingkungan.",""
996,"Informatika","sulit","Docker adalah alat yang banyak digunakan untuk apa?","Containerization","Mengedit audio","Membuat animasi kertas","Mengukur tegangan","A","Docker populer untuk membuat, menjalankan, dan mengelola container.",""
997,"Informatika","sulit","Responsive image bertujuan agar gambar bagaimana?","Sesuai ukuran dan kebutuhan layar","Selalu paling besar","Tidak pernah tampil","Selalu hitam putih","A","Responsive image membantu browser memilih gambar yang sesuai ukuran layar dan kepadatan piksel.",""
998,"Informatika","sulit","Lazy loading gambar bertujuan untuk apa?","Memuat gambar saat dibutuhkan","Menghapus gambar","Membuat gambar rusak","Mematikan internet","A","Lazy loading menunda pemuatan gambar sampai diperlukan agar halaman lebih ringan.",""
999,"Informatika","sulit","Accessibility pada web bertujuan agar aplikasi dapat digunakan oleh siapa?","Lebih banyak pengguna termasuk penyandang disabilitas","Developer saja","Robot saja","Pengguna layar besar saja","A","Accessibility membuat web lebih mudah diakses oleh pengguna dengan kebutuhan beragam.",""
1000,"Informatika","sulit","Testing pada aplikasi bertujuan untuk apa?","Memastikan fitur berjalan sesuai harapan","Menghapus dokumentasi","Mengganti warna editor","Membuat bug baru","A","Testing membantu memeriksa apakah aplikasi berjalan sesuai kebutuhan dan mengurangi risiko bug.",""
